,English,Marathi
10,streechi garbhavastha sampun balakacha/balakancha janma honyachya kriyela prasuti mhantat.,स्त्रीची गर्भावस्था संपून बालकाचा/बालकांचा जन्म होण्याच्या क्रियेला प्रसूती म्हणतात.
11,"don kivva teen padanchya madhyamatun rati,vatsalya ani bhakti yaa premachya vividh chatanche darshan ghadavle jate.","दोन किंवा तीन पदांच्या माध्यमातून रती,वात्सल्य आणि भक्ती या प्रेमाच्या विविध छटांचे दर्शन घडवले जाते."
12,gadkari yaa navache marathi natakadi sahityasathi anek puraskar ahet. vegveglya sanstha he puraskar detat.,गडकरी या नावाचे मराठी नाटकादी साहित्यासाठी अनेक पुरस्कार आहे. वेगवेगळ्या संस्था हे पुरस्कार देतात.
13,sadhya yaa vidyapithache kulguru he dr.,सध्या या विद्यापीठाचे कुलगुरू हे डॉ.
14,bhartiya havamanat vaividhyata yenyas mukhyatve yethil bhaugolik paristhiti javabdar ahe va havamanache sampurna niyantran he uttaratil himalay va paschimetil tharchya valvantamule hote.,भारतीय हवामानात वैविध्यता येण्यास मुख्यत्वे येथील भौगोलिक परिस्थिती जवाबदार आहे व हवामानाचे संपुर्ण नियंत्रण हे उत्तरेतील हिमालय व पश्चिमेतील थरच्या वाळवंटामुळे होते.
15,shaiv granthanusar vishnuchya ugra narasimhaavataras kaabut annyasathi va tyala narsimhavataratun mul soumya rupat parat annyasathi shankarane sharabhacha avatar ghetla.,शैव ग्रंथांनुसार विष्णूच्या उग्र नृसिंहावतारास काबूत आणण्यासाठी व त्याला नृसिंहावतारातून मूळ सौम्य रूपात परत आणण्यासाठी शंकराने शरभाचा अवतार घेतला.
16,"tyanantar malvahatuk kendra, arthat cargo hub, vikasvanyacha arakhada tayaar karnyat ala.","त्यानंतर मालवाहतूक केंद्र, अर्थात कार्गो हब, विकसवण्याचा आराखडा तयार करण्यात आला."
17,1971 chya loksabha nivadnukanmadhye uttar pradesh rajyatil muradabad loksabha matadarsanghatun loksabhevar nivadun gele.,१९७१ च्या लोकसभा निवडणुकांमध्ये उत्तर प्रदेश राज्यातील मुरादाबाद लोकसभा मतदारसंघातून लोकसभेवर निवडून गेले.
18,tendulkarchya naave eka varshat 1000 dhava karnyacha vikram ahe.,तेंडुलकरच्या नावे एका वर्षात १००० धावा करण्याचा विक्रम आहे.
19,budhbhushan ha swatantra grantha nahi.,बुधभूषण हा स्वतंत्र ग्रंथ नाही.
20,devachya navane rakhun thevle aslyane ya vanala vrukshatodipasun ekprakarche savrakshan kavach aste.,देवाच्या नावाने राखून ठेवले असल्याने या वनाला वृक्षतोडीपासून एकप्रकारचे संरक्षण कवच असते.
21,copy right kaydyat copyright jaahir na karta sambandhit kalakruti lekhan athva chayachitracha nirmata moun asel tari tyacha copyright apoaap tayaar hot asto.,कॉपी राईट कायद्यात कॉपीराईट जाहीर न करता संबंधित कलाकृती लेखन अथवा छायाचित्राचा निर्माता मौन असेल तरी त्याचा कॉपीराईट आपोआप तयार होत असतो.
22,mohini kadu yanni yaa pustakat indira gandhi yanchya 11 charitragranthache mulyamapan kele aahe.,मोहिनी कडू यांनी या पुस्तकात इंदिरा गांधी यांच्या ११ चरित्रग्रंथाचे मूल्यमापन केले आहे.
23,"pali, sanskrit yaa bhashanmadhye tasech anya bhartiya bhashanmadhye aanand yaa shabdacha artha 'vardaan' asa hoto.","पाली, संस्कृत या भाषांमध्ये तसेच अन्य भारतीय भाषांमध्ये आनंद या शब्दाचा अर्थ 'वरदान' असा होतो."
24,hya bhumikesathi tila anek puraskar milale.,ह्या भूमिकेसाठी तिला अनेक पुरस्कार मिळाले.
25,bade miyaa chote miyaanchi katha william shakespearchya the comedy of errors hya natakavar aadharit ahe.,बडे मियां छोटे मियांची कथा विल्यम शेक्सपियरच्या द कॉमेडी ऑफ एरर्स ह्या नाटकावर आधारित आहे.
26,he stotra hindu dharmatil anekdaa aartinantar mhanle jate.,हे स्तोत्र हिंदू धर्मांतील अनेकदा आरतीनंतर म्हणले जाते.
27,fule pasrun pushpaasan taiyaar kele.,फुले पसरून पुष्पासन तयार केले.
28,sangu kashi priya me,सांगू कशी प्रिया मी
29,"varna, dudhganga, hiranyakeshi, krushna yaa nadhya zillyachya vividh bhagatun vahatat.","वारणा, दूधगंगा, हिरण्यकेशी, कृष्णा या नद्या जिल्ह्याच्या विविध भागातून वाहतात."
30,golandajii career saaransh:-,गोलंदाजी करिअर सारांश:-
31,pratek patalichya suruvatila kheladula aakraman karnarya zombinche prakaar dakhavle jatat va tyanchyavirudha lagnari zade kheladula nivadta yetat.,प्रत्येक पातळीच्या सुरुवातीला खेळाडूला आक्रमण करणाऱ्या झोम्बींचे प्रकार दाखवले जातात व त्यांच्याविरुद्ध लागणारी झाडे खेळाडूला निवडता येतात.
32,maharashtra shasanachya 'dr. ambedkar charitra sadhne samiti'chya photo album va patravyavahar khanda prakashan samitiche sadasya hote.,महाराष्ट्र शासनाच्या 'डॉ. आंबेडकर चरित्र साधने समिती'च्या फोटो अल्बम व पत्रव्यवहार खंड प्रकाशन समितीचे सदस्य होते.
33,kishoritaina he kallyavar tya ragavlya.,किशोरीताईंना हे कळल्यावर त्या रागावल्या.
34,sadhna kamat ya ek marathi lekhika ahet.,साधना कामत या एक मराठी लेखिका आहेत.
35,kshetraphal vyaple asun yethe 45.7 lakh loksankhyechi vasti ahe.,क्षेत्रफळ व्यापले असून येथे ४५.७ लाख लोकसंख्येची वस्ती आहे.
36,zaadachya saalit laplele kitak pakadnyasathi haa vegane zaadachya khodat chidra padto.,झाडाच्या सालीत लपलेले कीटक पकडण्यासाठी हा वेगाने झाडाच्या खोडात छिद्र पाडतो.
37,tya vavrat gasali bhat kello.,त्या वावरात गसाली भात केल्लो.
38,nantar ti samrat chowkatil budhwar pethet halvinyat aali.,नंतर ती सम्राट चौकातील बुधवार पेठेत हलविण्यात आली.
39,manaapmaan (dhairyadhar),मानापमान (धैर्यधर)
40,jevana urkaychi astil tar jevlat ka yaa prashnacha uttar saamvedit 'jeevyasa hay' asa yet. 's'ne suru honare shabda kahi thikani 'h' ne suru hotat.,जेवणं उरकायची असतील तर जेवलात का या प्रश्नाचं उत्तर सामवेदीत 'जिव्यासा हाय' असं येतं.'स' ने सुरु होणारे शब्द काही ठिकाणी 'ह' ने सुरु होतात.
41,weg kivva stithi yanpaiki ekachi mahattam anishchitta mahit aslyas dusryachi laghuttam anishchitta haisenberg anishchittecha siddhant vaprun kadhta yete.,वेग किंवा स्थिती यांपैकी एकाची महत्तम अनिश्चितता माहित असल्यास दुसर्याची लघुत्तम अनिश्चितता हायझेनबर्गचा अनिश्चिततेचा सिद्धान्त वापरून काढता येते.
42,"ganesh yantrachi puja keli va tyanantar jya thikani matichi murti tayaar keli hoti, tyach thikani yeun vidhivat dharmik ganesh yaag kela, va tyanantar te siddha shreeyantra mangalmurtichya potamadhye sarvansamaksha thevle.","गणेश यंत्राची पूजा केली व त्यानंतर ज्या ठिकाणी मातीची मूर्ती तयार केली होती, त्याच ठिकाणी येऊन विधिवत धार्मिक गणेश याग केला, व त्यानंतर ते सिद्ध श्रीयंत्र मंगलमूर्तीच्या पोटामध्ये सर्वांसमक्ष ठेवले."
43,madhukarnagar gaavat mukhyatah vadval samajatil lok pidhyanpidhya rahatat.,मधुकरनगर गावात मुख्यतः वाडवळ समाजातील लोक पिढ्यानपिढ्या राहतात.
44,asa bhondla surekh bai - indira kulkarni,असा भोंडला सुरेख बाई - इंदिरा कुलकर्णी
45,parantu tethe pohochnyasathi aplyala dravidi pranayam karava lagto.,परंतु तेथे पोहोचण्यासाठी आपल्याला द्राविडी प्राणायाम करावा लागतो.
46,vinayakdigdarshit brahmachari yaa yashasvi chitrapatatil chandekaranchi sarva gaani lokpriya zaali.,विनायकदिग्दर्शित ब्रम्हचारी या यशस्वी चित्रपटातील चांदेकरांची सर्व गाणी लोकप्रिय झाली.
47,rose valley hi paschim bangalmadhil ek chit fund company hoti.,रोझ व्हॅली ही पश्चिम बंगालमधील एक चिट फंड कंपनी होती.
48,madhyavarti delhi,मध्यवर्ती दिल्ली
49,"murti-shilpa-chitra te marathi vakprachar 'lankechi parvati' mhantle jaate, anga zaknyaevdhe vastrahi jawal naslelya streela uddeshun.","मूर्ती-शिल्प-चित्र ते मराठी वाक्प्रचार ‘लंकेची पार्वती’ म्हटले जाते, अंग झाकण्याएवढे वस्त्रही जवळ नसलेल्या स्त्रीला उद्देशून."
50,"vishesh antarrashtriya vinashulka khuli marathi diwali anka spardhemadhye diwali ankatil sahitya, vaividhya, maandani ani chapaicha darja yaa sandarbhat gunavattechya nikashavar sarvotkrushtha ankanna varil 25 prakaranmadhye manyavar marathi vyaktichya haste gauravpar smrutichinha jaisinghpurat pradaan keli jatat.","विशेष आंतरराष्ट्रीय विनाशुल्क खुली मराठी दिवाळी अंक स्पर्धेमध्ये दिवाळी अंकातील साहित्य, वैविध्य, मांडणी आणि छपाईचा दर्जा या संदर्भात गुणवत्तेच्या निकषावर सर्वोत्कृष्ठ अंकांना वरील २५ प्रकारांमध्ये मान्यवर मराठी व्यक्तीच्या हस्ते गौरवपर स्मृतिचिन्ह जयसिंगपुरात प्रदान केली जातात."
51,yalach bhartane lokdharmi vrutti-pravrutti ase mhantle ahe.,यालाच भरताने लोकधर्मी वृत्ती-प्रवृत्ती असे म्हटले आहे.
52,darvajachya aatlya bajus ghumti ahe.,दरवाजाच्या आतल्या बाजूस घुमटी आहे.
53,"alankaar, upama, upmaan he yetaach nahi.","अलंकार, उपमा, उपमान हे येताच नाही."
54,paschim madhya railwaydvare khalil pramukh railwaygaadya chalavlya jatat.,पश्चिम मध्य रेल्वेद्वारे खालील प्रमुख रेल्वेगाड्या चालवल्या जातात.
55,rojani hindu,रोज़ानी हिंदू
56,vivahbahya sambandh navin drushtikon,विवाहबाह्य संबंध नवीन दृष्टिकोन
57,mahadhamma parishad,महाधम्म परिषद
58,baithak kholichya pudhil bajus laakdi taavdaanat junya pustakanche bhargaccha sangrahalay ahe.,बैठक खोलीचच्या पुढील बाजूस लाकडी तावदानात जुन्या पुस्तकांचे भरगच्च संग्रहालय आहे.
59,maharashtra sahitya parishadechya bhosari shakhetarfe bhosari yethe dondivasiya vibhagiya sahitya sammelan 1-2 december 2015 yaa kalat jhale.,महाराष्ट्र साहित्य परिषदेच्या भोसरी शाखेतर्फे भोसरी येथे दोनदिवसीय विभागीय साहित्य संमेलन १-२ डिसेंबर २०१५ या काळात झाले.
60,"joshi clinic, pune bharatatil maharashtra rajyatlya pune shaharatil mothe rugnalay ahe.","जोशी क्लिनिक, पुणे भारतातील महाराष्ट्र राज्यातल्या पुणे शहरातील मोठे रुग्णालय आहे."
61,deshmukh.,देशमुख.
62,"aj chaya nirala hai rang re : kavi mukhram sharma, sangeet keshavrao bhole, chitrapat shrikrushna satyabhama","आज छाया निराला है रंग रे : कवी मुखराम शर्मा, संगीत केशवराव भोळे, चित्रपट श्रीकृष्ण सत्यभामा"
63,prastut tantra sakshat buddhi shaktine sambandhit aslyane yaa sarvannach ya pathyakramamule tyanchya buddhichya kshamata vikasit houn apaplya vishayat fayda zaala.,प्रस्तुत तंत्र साक्षात बुद्धी शक्तीने संबंधित असल्याने या सर्वांनाच या पाठ्याक्रमामुळे त्यांच्या बुद्धीच्या क्षमता विकसित होवून आपापल्या विषयात फायदा झाला.
64,oslo hi norwaychi raajdhani va saglyat mothe shahar ahe.,ओस्लो ही नॉर्वेची राजधानी व सगळ्यात मोठे शहर आहे.
65,paryay,पर्याय
66,shivay muslim dharmiyancha ek peersudha gaavat ahe.,शिवाय मुस्लिम धर्मीयांचा एक पीरसुद्धा गावात आहे.
67,mahuda vidhansabha matadarsangha ha gujrat vidhansabha nivadnukitil ek matadarsangha ahe. haa matadarsangha kheda zillhyat ahe.,महुडा विधानसभा मतदारसंघ हा गुजरात विधानसभा निवडणुकीतील एक मतदारसंघ आहे. हा मतदारसंघ खेडा जिल्ह्यात आहे.
68,"athvanitli gaani.com - ""ekach pyala"" natakatil pade (marathi majkur)","आठवणीतली गाणी.कॉम - ""एकच प्याला"" नाटकातील पदे (मराठी मजकूर)"
69,mag pallavichya olinvar vividh jaatimadhye nrutta kele jate.,मग पल्लवीच्या ओळींवर विविध जातीमध्ये नृत्त केले जाते.
70,saudi arabiacha bhutpurva raaja abdul ajij al-saud hyache naav hya vimantalala denyat aale ahe.,सौदी अरेबियाचा भूतपूर्व राजा अब्दुल अजीज अल-सौद ह्याचे नाव ह्या विमानतळाला देण्यात आले आहे.
71,vasant kanetkar likhit natak ahe.,वसंत कानेटकर लिखित नाटक आहे.
72,yaa bhartiya janta pakshachya sadasya ahet,या भारतीय जनता पक्षाच्या सदस्य आहेत
73,tiruchirappalli-srirangam (tamilnadu),तिरुचिरापल्ली-श्रीरंगम् (तामिळानाडू)
74,"kalgaav (chinchni), taluka karhad, zilla satara","कालगांव (चिंचणी), तालुका कर्‍हाड, जिल्हा सातारा"
75,tyamule mandirache khup nuksaan zaale ahe.,त्यामुळे मंदिराचे खूप नुकसान झाले आहे.
76,"yaa falanmadhye chaptya, golakar, ardhya te ek gram vajnachya ek te don biyaa astat.","या फळांमध्ये चपट्या, गोलाकार, अर्ध्या ते एक ग्रॅम वजनाच्या एक ते दोन बिया असतात."
77,itruskan raaje he jupitarche pratinidhi samajle jaat.,इट्रुस्कन राजे हे ज्यूपिटरचे प्रतिनिधी समजले जात.
78,ha galyamadhye ghalnyacha daagina ahe.,हा गळ्यामध्ये घालण्याचा दागिना आहे.
79,mahitisathi vachan,माहितीसाठी वाचन
80,sarvadhik cricket maidananvar khelacha vikram: sachin aataparyanta 52 maidananvar kasoti cricket khellela ahe.,सर्वाधिक क्रिकेट मैदानांवर खेळाचा विक्रम: सचिन आत्तापर्यंत ५२ मैदानांवर कसोटी क्रिकेट खेळलेला आहे.
81,rajgir hech 24 ve tirthanker mahaveer yanche pahile deshna sthal (jethe upadesh kela ti jaaga)sudha ahe.,राजगीर हेच २४ वे तीर्थंकर महावीर यांचे पहिले देशना स्थळ (जेथे उपदेश केला ती जागा)सुद्धा आहे.
82,yaat balvayatil mulansahit te agdii 73 varshaparyantchya sabhasadancha dekhil samavesh hota.,यात बालवयातील मुलांसहित ते अगदी ७३ वर्षांपर्यंतच्या सभासदांचा देखील समावेश होता.
83,tasech company 'nimrana music foundation' pan chalvite.,तसेच कंपनी ‘निम्राना म्युझिक फौंडेशन’ पण चालविते.
84,anand karve he ashden paritoshik vijete shastradnya ahet.,आनंद कर्वे हे ॲश्डेन पारितोषिक विजेते शास्त्रज्ञ आहेत.
85,"sanskrit bhashevar atishay prem, tyamule b","संस्कृत भाषेवर अतिशय प्रेम, त्यामुळे बी."
86,yalach ingrajeet rheumatism mhantat.,यालाच इंग्रजीत ऱ्हुमॅटिझम म्हणतात.
87,"tyanchyasobat aalele gawli washim zillyatilach waghlud ani amani yaa gavanmadhye sthayik zaale, ase bhatankade lihun ahe.","त्यांच्यासोबत आलेले गवळी वाशीम जिल्ह्यातीलच वाघळूद आणि अमानी या गावांमध्ये स्थायिक झाले, असे भाटांकडे लिहून आहे."
88,"san 1960 te 1980 yaa kalavadhit kashinath ha marathi natya-chitrashrushticha pahila superstar hota, ani tyakalat to sarvat motha paid star hota.","सन १९६० ते १९८० या कालावधीत काशीनाथ हा मराठी नाट्य-चित्रसृष्टीचा पहिला सुपरस्टार होता, आणि त्याकाळात तो सर्वात मोठा पेड स्टार होता."
89,kashtamay jeevan jagayche.,कष्टमय जीवन जगायचे.
90,tya angthya aatil bajune eka dhatupattine jodlelya asun tyavar tikshna nakhe lavleli astat.,त्या अंगठया आतील बाजूने एका धातूपट्टीने जोडलेल्या असून त्यावर तीक्ष्ण नखे लावलेली असतात.
91,tyani vayachya akravya varshi circusmadhe kaam karnyas suruvaat keli hoti.,त्यांनी वयाच्या अकराव्या वर्षी सर्कसमधे काम करण्यास सुरूवात केली होती.
92,babasaheb ambedkaranni 1920 te 1936 yaa kalavadhit kelelya kahi nivdak bhashanancha sangraha vijay survade yanni sampadit kela ahe.,बाबासाहेब आंबेडकरांनी १९२० ते १९३६ या कालावधीत केलेल्या काही निवडक भाषणांचा संग्रह विजय सुरवडे यांनी संपादित केला आहे.
93,martin yashtirakshak ahe.,मार्टिन यष्टिरक्षक आहे.
94,hyat pandhra maka ani pivla maka asha don jaati ahet.,ह्यांत पांढरा माका आणि पिवळा माका अशा दोन जाती आहेत.
95,yaa avataramadhye bhagwan vishnuni mashache rup ghetle hote.,या अवतारामध्ये भगवान विष्णूंनी माशाचे रूप घेतले होते.
96,asha prakare ashramat shijavlelya annachya kharchavar niyantran thevle jaate.,अशा प्रकारे आश्रमात शिजवलेल्या अन्नाच्या खर्चावर नियंत्रण ठेवले जाते.
97,maherala jayche mhanun sakalpasun raabtoy.,माहेराला जायचे म्हणून सकाळपासून राबतोय.
98,greek bhasha lihinyakarita hya varnamalecha vapar i.,ग्रीक भाषा लिहिण्याकरिता ह्या वर्णमालेचा वापर इ.
99,changdev he yogmargatil adhikari purush hote,चांगदेव हे योगमार्गातील अधिकारी पुरुष होते.
100,shorma kivva shaurma dubait prachalit aslela ek lebanese khadyapadartha ahe.,शोरमा किंवा शॉर्‌मा दुबईत प्रचलित असलेला एक लेबनीज खाद्यपदार्थ आहे.
101,he panchatarankit hotel rashtriya va antarrashtriya sarva paddhatiche utkrushtha khadya padartha puravte.,हे पंचतारांकित हॉटेल राष्ट्रीय व आंतरराष्ट्रीय सर्व पद्दतीचे उत्कृष्ट खाध्य पदार्थ पुरविते.
102,1920 va 1930 chya dashakandarmyan soviet sangha kalat tashkandche mothya pramanavar audyogikaran karnyat aale.,१९२० व १९३० च्या दशकांदरम्यान सोव्हियेत संघ काळात ताश्कंदचे मोठ्या प्रमाणावर औद्योगिकरण करण्यात आले.
103,"gandhi parva 1 (don khanda, govind talwalkar)","गांधी पर्व १ (दोन खंड, गॊविंद तळवलकर)"
104,he shahar sihor zillyache prashaskiya kendra ahe.,हे शहर सिहोर जिल्ह्याचे प्रशासकीय केंद्र आहे.
105,11) lingayat he kaykakve kailas yaa swayampurnatecha sandesh denare ek arthashastra ahe.,११) लिंगायत हे कायकाकवे कैलास या स्वयंपूर्णतेचा संदेश देणारे एक अर्थशास्त्र आहे.
106,burujavarun tatbandichya bajune chalat jatanna he tatbandi anek thikani tutleli diste.,बुरुजावरुन तटबंदीच्या बाजूने चालत जातांना ही तटबंदी अनेक ठिकाणी तुटलेली दिसते.
107,"jadache chintan karnare mann jud bante, streeche chintan karnare mann straiin bante.","जडाचे चिंतन करणारे मन जड बनते, स्त्रीचे चिंतन करणारे मन स्त्रैण बनते."
108,matsya puranamadhye bhagwan vishnunchya matsya avatar yababat katha ahet.,मत्स्य पुराणामध्ये भगवान विष्णूंच्या मत्स्य अवतार याबाबत कथा आहेत.
109,dandadhaar haa mahabharatatil hastinapuracha raja dhritrashtra va raani gandhari yancha putra va shambhar kaurav bhavandanpaikii ek bhau hota.,दंडधार हा महाभारतातील हस्तिनापुराचा राजा धृतराष्ट्र व राणी गांधारी यांचा पुत्र व शंभर कौरव भावंडांपैकी एक भाऊ होता.
110,yaa mathantargat diksha prapta karnarya sanyashyachya navaakheris saraswati/bharti/puri sampraday ase naav jodle jaate.,या मठांतर्गत दिक्षा प्राप्त करणाऱ्या संन्याश्याच्या नावाअखेरीस सरस्वती/भारती/पुरी संप्रदाय असे नाव जोडले जाते.
111,anjanvada anjanvadii ankhali asonda asola asola aajarsonda aamdari undegaon ukhli umra aundha naagnath kanjara kakaddabha kathoda tanda kundkar pimpri keli kondshi budruk gadhala gangalwadi gojegaon golegaon chincholi chimegaon chondi shahapur jadgaon jalaldabha jalalpur javla jamgavhan jodpimpri takalgaon dhegaj tapovan dughala tamtii tanda daregaon durchuna devala devala daudgaon dhar nandkheda nandgaon naagzari nageshwadi nalegaon nishana pangra pardi savali pimpaldari pimpala purjal pur pota pota khurd phuldabha berula borja brahmanvada bhosi matha mardi murtijapur savangi metha yedut yeli yehalegaon ranjala raajdari rajapur rameshwar rupur laxmannaik tanda landala lakh lohra khurd lohra budruk vagarwadi vagarwadi tanda vadchuna vadad vasai valki shirad shahapur shirla samanganaik tanda sarangwadi salna savarkheda savali khurd savali budruk siddheshwar sukapur suregaon surwadi sendursana sonwadi hivarkheda hivrajatu …..,अंजनवाडा अंजनवाडी अनखळी असोंदा असोला असोला आजरसोंडा आमदरी उंडेगाव उखळी उमरा औंढा नागनाथ कंजारा काकडदाभा काठोडा तांडा कुंडकर पिंपरी केळी कोंडशी बुद्रूक गढाळा गांगलवाडी गोजेगाव गोळेगाव चिंचोली चिमेगाव चोंडी शहापूर जडगाव जलालदाभा जलालपूर जवळा जामगव्हाण जोडपिंपरी टाकळगाव ढेगज तपोवन दुघाळा तामटी तांडा दरेगाव दुरचुना देवाळा देवाळा दौडगाव धार नांदखेडा नांदगाव नागझरी नागेशवाडी नालेगाव निशाणा पांगरा पार्डी सावळी पिंपळदरी पिंपळा पुरजळ पूर पोटा पोटा खुर्द फुलदाभा बेरुळा बोरजा ब्राह्मणवाडा भोसी माथा मार्डी मूर्तीजापूर सावंगी मेथा येडूत येळी येहळेगाव रांजाळा राजदरी राजापूर रामेश्वर रूपूर लक्ष्मणनाईक तांडा लांडाळा लाख लोहरा खुर्द लोहरा बुद्रूक वगरवाडी वगरवाडी तांडा वडचुना वडद वसई वाळकी शिरड शहापूर शिरला संमगानाईक तांडा सारंगवाडी साळणा सावरखेडा सावळी खूर्द सावळी बुद्रूक सिद्धेश्‍वर सुकापूर सुरेगाव सूरवाडी सेंदूरसना सोनवाडी हिवरखेडा हिवराजाटू ........
112,he paatra eka dubaimadhil vyaparyane mumbaimadhil eka vastusangrahalayala pathavile hote.,हे पात्र एका दुबईमधील व्यापार्‍याने मुंबईमधील एका वस्तुसंग्रहालयाला पाठविले होते.
113,rugvedache kavitabaddha rupantar,ऋग्वेदाचे कविताबद्ध रूपांतर
114,gadavar paani naslyane vaa savalisathi zaad naslyane sobat anlela paani pyayacha aani aalya vatene gad utravaa.,गडावर पाणी नसल्याने वा सावलीसाठी झाड नसल्याने सोबत आणलेलं पाणी प्यायचं आणि आल्या वाटेने गड उतरावा.
115,n live ya vahinivaril ek prasidha karyakram ahe.,एन लाइव या वाहिनीवरील एक प्रसिद्ध कार्यक्रम आहे.
116,u. amjad ali khan,उ. अमजद अली खान
117,manipur madhil loktak talav,मणिपूर मधील लोकटक तलाव
118,bhrunvruddhi hot asta tyabhovati ulb navache ek patal aavaran tayaar hote.,भ्रूणवृद्धि होत असता त्याभोवती उल्ब नावाचे एक पातळ आवरण तयार होते.
119,dnyaneshwaranchya kalat mhanje 12vya shatakat prachalit asleli praakrut te atachi 21vya shatakat bolli janari marathi yaat khup farak ahe.,ज्ञानेश्वरांच्या काळात म्हणजे १२व्या शतकात प्रचलित असलेली प्राकृत ते आताची २१व्या शतकात बोलली जाणारी मराठी यात खूप फरक आहे.
120,tyani i.,त्यांनी इ.
121,he company chitrapat digdarshak neeraj pande ani nirmatya sheetal bhatiya yanni sthapan keli ahe..,ही कंपनी चित्रपट दिग्दर्शक नीरज पांडे आणि निर्मात्या शीतल भाटिया यांनी स्थापन केली आहे..
122,stephan hawking,स्टीफन हॉकिंग
123,kolhapur pasun andaje daha kilometer antaravar unchgaon ya thikani ahe.,कोल्हापुर पासून अंदाजे दहा किलोमीटर अंतरावर उंचगाव या ठिकाणी आहे.
124,shayari punyachi' yaa sankalit urdu-gazal-sangrahat sangeeta joshi yanchya don urdu gazlancha samavesh jhalela ahe.,’शायरी पुण्याची’ या संकलित उर्दू-गझल-संग्रहात संगीता जोशी यांच्या दोन उर्दू गझलांचा समावेश झालेला आहे.
125,"he sanyasi swatahla bharatmateche ""santaan"" mhanje apatya ase mhant asat.","हे सन्यासी स्वतःला भारतमातेचे ""संतान"" म्हणजे अपत्य असे म्हणत असत."
126,"1959 te 1969 ashi 10 varshe tya lekhnik mhanun kaam karat hotyach, pan 1969madhye dhundirajshastri varlyavarahi mahadevakarani tyanche kaam pudhe kahi varshe suru thevle.","१९५९ ते १९६९ अशी १० वर्षे त्या लेखनिक म्हणून काम करत होत्याच, पण १९६९मध्ये धुंडीराजशास्त्री वारल्यावरही महादेवकरांनी त्यांचे काम पुढे काही वर्षे सुरू ठेवले."
127,prasavpurva vikasachya vividh avasthancha nirdesh sulabh vhava mhanun manavi garbhavastha teen timahinchya kalavadhit vibhagali jaate.,प्रसवपूर्व विकासाच्या विविध अवस्थांचा निर्देश सुलभ व्हावा म्हणून मानवी गर्भावस्था तीन तिमाहींच्या कालावधीत विभागली जाते.
128,marathyanni tyachi upyuktata pahun aaplya bajula valavle.,मराठ्यांनी त्याची उपयुक्तता पाहून आपल्या बाजूला वळवले.
129,buddhidaata shriganesh (kavitasangrah),बुद्धिदाता श्रीगणेश (कवितासंग्रह)
130,16) lingayat he stree gauravache va srijagtachya uddharache ek vaishistyapurna sutra ahe.,१६) लिंगायत हे स्त्री गौरवाचे व स्रीजगताच्या उद्धाराचे एक वैशिष्टयपूर्ण सूत्र आहे.
